Id ;Label;Category
0;AUS(Australia);Gold
1;LAO(Laos);Gold
2;PHL(Philippines);Gold
3;MLI(Mali);Gold
4;BRA(Brazil);Gold
5;MDG(Madagascar);Gold
6;ARG(Argentina);Gold
7;EGY(Egypt);Gold
8;DOM(Dominican);Gold
9;PER(Peru);Gold
10;UKR(Ukraine);Gold
11;RUS(Russia);Gold
12;SDN(Sudan);Gold
13;CHN(China);Gold
14;ERT(Greece);Gold
15;COD(Congo);Gold
16;CAN(Canada);Gold
17;GUY(Guyana);Gold
18;NIC(Nicaragua);Gold
19;COL(Colombia);Gold
20;PRY(Paraguay);Gold
21;MEX(Mexico);Gold
22;CRI(Costa Rica);Gold
23;PAN(Panama);Gold
24;GTM(Guatemala);Gold
25;ZMB(Zambia);Gold
26;TZA(Tanzania);Gold
27;MRT(Mauritania);Gold
28;ROU(Romania);Gold
29;CAF(Central Africa);Gold
30;BFA(Burkina Faso);Gold
31;GHA(Ghana);Gold
32;HND(Honduras);Gold
33;CIV(Cote d’avorio);Gold
34;GBR(United Kingdom );Gold
35;MNG(Mongolia);Gold
36;ETH(Ethiopia);Gold
37;MOZ(Mozambique);Gold
38;SLE(Sierra Leone);Gold
39;KEN(Kenya);Gold
40;ZWE(Zimbabwe);Gold
41;CHE(Switzerland);Gold
42;ZAF(South Africa);Gold
43;GIN(Guinea);Gold
44;IND(India);Gold
45;USA;Gold
46;JPN(Japan);Gold
47;JEY(Jersey);Gold
48;KOR(South Korea);Gold
49;SGP(Singapore);Gold
50;TUR(Turkey);Gold
51;NLD(Netherlands);Gold
52;LBR(Liberia);Gold
53;KAZ(Kazakhstan);Gold
54;CYM(Cayam Islands);Gold
55;GGY(Guernsey);Gold
56;MUS(Mauritius);Gold
57;SEN(Senegal);Gold
58;SWZ(Eswatini);Gold
59;CHL(Chile);Gold
