Id;Label;Category
0;(AUS)Australia;Copper
1;(PER)Peru;Copper
2;(DOM)Dominican;Copper
3;(COD)Congo;Copper
4;(ZMB)Zambia;Copper
5;(LAO)Laos;Copper
6;(CHN)China;Copper
7;(MMR)Myanmar;Copper
8;(PHL)Philippines;Copper
9;(GUY)Guyana;Copper
10;(CAN)Canada;Copper
11;(ERI)Eritrea;Copper
12;(BRA)Brazil;Copper
13;(COL)Colombia;Copper
14;(ARG)Argentina;Copper
15;(MEX)Mexico;Copper
16;(NIC)Nicaragua;Copper
17;(PAN)Panama;Copper
18;(CHL)Chile;Copper
19;(MNG)Mongolia;Copper
20;(TZA)Tanzania;Copper
21;(MRT)Mauritania;Copper
22;(ROU)Romania;Copper
23;(ECU)Ecuador;Copper
24;(KOR)South Korea;Copper
25;(BOL)Bolivia;Copper
26;(JPN)Japan;Copper
27;(GBR)United Kindom;Copper
28;(NAM)Vietnam;Copper
29;(HKG)HongKong;Copper
30;(ZAF)South Africa;Copper
31;(JEY)Jersey;Copper
32;(SGP)Singapore;Copper
33;USA;Copper
34;(LUX)Luxembourg;Copper
35;(GIB)Gibraltar;Copper
36;(CHE)Switzerland;Copper
