source,destination,weight
AUS,LAO,2
AUS,PHL,1
AUS,PER,1
AUS,DOM,1
AUS,COD,3
AUS,ZMB,1
CHN,LAO,1
CHN,PER,2
CHN,ZMB,3
CHN,COD,4
CHN,MMR,1
CAN,PHL,1
CAN,GUY,1
CAN,PER,15
CAN,ERI,1
CAN,BRA,5
CAN,COL,1
CAN,ARG,4
CAN,MEX,2
CAN,NIC,2
CAN,PAN,1
CAN,DOM,1
CAN,CHL,1
CAN,ZMB,4
CAN,MNG,1
CAN,TZA,2
CAN,MRT,1
CAN,ROU,2
CAN,COD,3
BRA,PER,2
BRA,ZMB,1
CHL,ECU,1
KOR,BOL,1
KOR,CHL,1
JPN,CHL,1
JPN,ARG,1
GBR,COL,1
GBR,PER,3
GBR,NAM,1
GBR,MNG,3
GBR,TZA,2
GBR,ZMB,1
GBR,ROU,2
HKG,PER,1
CHE,COD,2
CHE,ZMB,1
ZAF,COD,1
ZAF,ZMB,1
JEY,PER,1
SGP,MNG,3
USA,TZA,2
LUX,COD,2
GIB,COD,1
