source,destination,weight
AUS,LAO,2
AUS,PHL,1
AUS,MLI,1
AUS,BRA,3
AUS,MDG,1
AUS,ARG,2
AUS,EGY,1
AUS,DOM,1
BRA,PER,1
UKR,LAO,1
RUS,LAO,1
RUS,SDN,1
CHN,LAO,1
CHN,ERI,1
CHN,PER,1
CHN,COD,1
COD,BRA,1
CAN,PHL,1
CAN,ARG,7
CAN,GUY,1
CAN,NIC,5
CAN,PER,21
CAN,ERI,1
CAN,BRA,20
CAN,COL,1
CAN,PRY,1
CAN,MEX,11
CAN,CRI,1
CAN,PAN,2
CAN,DOM,1
CAN,GTM,2
CAN,CHL,1
CAN,MNG,2
CAN,ZMB,1
CAN,TZA,3
CAN,MRT,2
CAN,ROU,6
CAN,CAF,1
CAN,BFA,4
CAN,MLI,2
CAN,COD,1
CAN,GHA,1
CAN,HND,1
GBR,COL,1
GBR,NIC,2
GBR,CIV,1
GBR,MLI,3
GBR,COD,1
GBR,ARG,2
GBR,PER,1
GBR,MNG,3
GBR,ETH,1
GBR,TZA,4
GBR,GHA,1
GBR,MOZ,1
GBR,SLE,1
GBR,BFA,2
GBR,KEN,2
GBR,ZWE,2
CHE,COD,1
CHE,BRA,1
ZAF,COD,2
ZAF,BRA,3
ZAF,MLI,3
ZAF,GHA,1
ZAF,GIN,1
IND,MDG,1
USA,BRA,2
USA,PER,1
USA,ARG,1
USA,GHA,3
USA,TZA,3
JPN,ARG,1
JEY,PER,5
KOR,CHL,1
SGP,MNG,3
TUR,LBR,1
TUR,BFA,1
NLD,BFA,2
NLD,GIN,1
KAZ,ROU,1
CYM,MLI,1
CYM,BFA,2
CYM,CIV,1
GGY,SEN,1
MUS,SWZ,1
